"","inmateid","release_date_approx","order_adm_times"
"1",20131130,"2019-12-24",1
"2",20099979,"2021-10-28",1
"3",131514,"2020-01-31",1
"4",20159382,"2020-04-22",1
"5",20129795,"2019-10-17",1
"6",139381,"2019-10-29",1
"7",20166189,"2019-12-19",1
"8",10011413,"2021-03-18",1
"9",143937,"2020-04-08",1
"10",20012297,"2021-03-26",1
"11",20143945,"2019-12-20",1
"12",20170391,"2019-10-30",1
"13",20171547,"2021-06-02",1
"14",13827,"2020-07-23",1
"15",41527,"2019-11-14",1
"16",20144700,"2019-12-04",1
"17",32070,"2020-10-20",1
"18",20176002,"2020-10-20",1
"19",20161410,"2020-06-01",1
"20",20179703,"2022-07-21",1
"21",20179901,"2020-02-04",1
"22",135239,"2019-12-17",1
"23",20182045,"2020-03-06",1
"24",20020838,"2020-04-01",1
"25",20182363,"2022-07-05",1
"26",132513,"2019-12-06",1
"27",20004328,"2020-04-24",1
"28",16308,"2019-12-30",1
"29",20173705,"2019-10-22",1
"30",20183779,"2022-07-21",1
"31",141467,"2021-06-22",1
"32",10002462,"2021-10-18",1
"33",20185454,"2020-01-16",1
"34",20022561,"2019-10-17",1
"35",20186117,"2022-01-14",1
"36",20186185,"2019-10-31",1
"37",100826,"2019-10-21",1
"38",20039691,"2019-12-19",1
"39",20187755,"2020-10-28",1
"40",10008677,"2019-11-09",1
"41",10015577,"2020-01-02",1
"42",160310,"2021-02-27",1
"43",43974,"2020-01-01",1
"44",21189,"2020-01-31",1
"45",20025862,"2019-11-26",1
"46",20081355,"2019-11-21",1
"47",106403,"2019-10-31",1
"48",20127162,"2019-10-23",1
"49",147933,"2019-10-15",1
"50",68056,"2019-12-06",1
"51",88490,"2020-04-04",1
"52",58002,"2019-10-31",1
"53",20190812,"2020-01-07",1
"54",90543,"2019-12-17",1
"55",20190920,"2020-02-27",1
"56",20190960,"2021-01-23",1
"57",20007140,"2020-01-22",1
"58",20078374,"2019-12-19",1
"59",20191333,"2019-12-12",1
"60",20191422,"2021-07-01",1
"61",17874,"2019-12-21",1
