year,age16_20,age21_29,age30_39,age40_49,age50_59,age60_over,age_total,incarceration_status
2021,415,7309,10745,7650,5440,2584,34143,incarcerated individuals
2021,3,65,85,47,38,24,262,incarcerated releasees
2021,418,7374,10830,7697,5478,2608,34405,total under custody
2020,897,10264,13788,9165,6668,2733,43515,incarcerated individuals
2020,19,219,273,135,79,36,761,incarcerated releasees
2020,916,10483,14061,9300,6747,2769,44276,total under custody
2019,1092,11620,14457,9689,7123,2663,46644,incarcerated individuals
2019,21,246,282,156,79,31,815,incarcerated releasees
2019,1113,11866,14739,9845,7202,2694,47459,total under custody
2018,1278,12876,14826,10254,7567,2672,49473,incarcerated individuals
2018,13,273,299,121,73,19,798,incarcerated releasees
2018,1291,13149,15125,10375,7640,2691,50271,total under custody
2017,1465,13636,14791,10574,7691,2560,50717,incarcerated individuals
2017,24,283,258,103,68,13,749,incarcerated releasees
2017,1489,13919,15049,10677,7759,2573,51466,total under custody
2016,1657,14179,14825,10984,7716,2383,51744,incarcerated individuals
2016,22,257,207,73,35,6,600,incarcerated releasees
2016,1679,14436,15032,11057,7751,2389,52344,total under custody
2015,1887,14417,14830,11509,7632,2266,52541,incarcerated individuals
2015,25,257,178,67,32,3,562,incarcerated releasees
2015,1912,14674,15008,11576,7664,2269,53103,total under custody
2014,2214,14809,14925,12117,7360,2140,53565,incarcerated individuals
2014,26,270,174,72,33,2,577,incarcerated releasees
2014,2240,15079,15099,12189,7393,2142,54142,total under custody
2013,2360,14835,15024,12782,7132,2102,54235,incarcerated individuals
2013,30,271,182,112,33,2,630,incarcerated releasees
2013,2390,15106,15206,12894,7165,2104,54865,total under custody
2012,2608,15092,15205,13688,6839,2004,55436,incarcerated individuals
2012,28,246,157,86,24,2,543,incarcerated releasees
2012,2636,15338,15362,13774,6863,2006,55979,total under custody
2011,NA,NA,NA,NA,NA,NA,NA,incarcerated individuals
2011,NA,NA,NA,NA,NA,NA,NA,incarcerated releasees
2011,2753,15408,15567,14195,6475,1917,56315,total under custody
