"","date_","n_per_day_age_date","n_per_day_date","50 Years and Over"
"1",2019-10-09,5973,7206,FALSE
"2",2019-10-09,1220,7206,TRUE
"3",2019-10-09,13,7206,NA
"4",2019-10-10,5973,7206,FALSE
"5",2019-10-10,1220,7206,TRUE
"6",2019-10-10,13,7206,NA
"7",2019-10-11,5994,7225,FALSE
"8",2019-10-11,1218,7225,TRUE
"9",2019-10-11,13,7225,NA
"10",2019-10-12,5968,7210,FALSE
"11",2019-10-12,1230,7210,TRUE
"12",2019-10-12,12,7210,NA
"13",2019-10-13,5967,7209,FALSE
"14",2019-10-13,1229,7209,TRUE
"15",2019-10-13,13,7209,NA
"16",2019-10-14,6010,7262,FALSE
"17",2019-10-14,1239,7262,TRUE
"18",2019-10-14,13,7262,NA
"19",2019-10-15,6048,7300,FALSE
"20",2019-10-15,1240,7300,TRUE
"21",2019-10-15,12,7300,NA
"22",2019-10-16,6019,7274,FALSE
"23",2019-10-16,1243,7274,TRUE
"24",2019-10-16,12,7274,NA
"25",2019-10-17,5984,7226,FALSE
"26",2019-10-17,1230,7226,TRUE
"27",2019-10-17,12,7226,NA
"28",2019-10-18,5935,7165,FALSE
"29",2019-10-18,1218,7165,TRUE
"30",2019-10-18,12,7165,NA
"31",2019-10-19,5924,7161,FALSE
"32",2019-10-19,1223,7161,TRUE
"33",2019-10-19,14,7161,NA
"34",2019-10-20,5937,7183,FALSE
"35",2019-10-20,1232,7183,TRUE
"36",2019-10-20,14,7183,NA
"37",2019-10-21,5971,7224,FALSE
"38",2019-10-21,1240,7224,TRUE
"39",2019-10-21,13,7224,NA
"40",2019-10-22,5962,7224,FALSE
"41",2019-10-22,1247,7224,TRUE
"42",2019-10-22,15,7224,NA
"43",2019-10-23,5952,7207,FALSE
"44",2019-10-23,1241,7207,TRUE
"45",2019-10-23,14,7207,NA
"46",2019-10-24,5943,7191,FALSE
"47",2019-10-24,1232,7191,TRUE
"48",2019-10-24,16,7191,NA
"49",2019-10-29,6010,7261,FALSE
"50",2019-10-29,1234,7261,TRUE
"51",2019-10-29,17,7261,NA
"52",2019-10-30,5967,7210,FALSE
"53",2019-10-30,1229,7210,TRUE
"54",2019-10-30,14,7210,NA
"55",2019-10-31,5927,7168,FALSE
"56",2019-10-31,1226,7168,TRUE
"57",2019-10-31,15,7168,NA
"58",2019-11-01,5910,7141,FALSE
"59",2019-11-01,1217,7141,TRUE
"60",2019-11-01,14,7141,NA
"61",2019-11-02,5888,7131,FALSE
"62",2019-11-02,1230,7131,TRUE
"63",2019-11-02,13,7131,NA
"64",2019-11-03,5863,7104,FALSE
"65",2019-11-03,1228,7104,TRUE
"66",2019-11-03,13,7104,NA
"67",2019-11-04,5895,7141,FALSE
"68",2019-11-04,1234,7141,TRUE
"69",2019-11-04,12,7141,NA
"70",2019-11-05,5886,7120,FALSE
"71",2019-11-05,1223,7120,TRUE
"72",2019-11-05,11,7120,NA
"73",2019-11-06,5814,7044,FALSE
"74",2019-11-06,1217,7044,TRUE
"75",2019-11-06,13,7044,NA
"76",2019-11-07,5836,7069,FALSE
"77",2019-11-07,1219,7069,TRUE
"78",2019-11-07,14,7069,NA
"79",2019-11-08,5806,7040,FALSE
"80",2019-11-08,1220,7040,TRUE
"81",2019-11-08,14,7040,NA
"82",2019-11-09,5792,7013,FALSE
"83",2019-11-09,1209,7013,TRUE
"84",2019-11-09,12,7013,NA
"85",2019-11-10,5770,6986,FALSE
"86",2019-11-10,1204,6986,TRUE
"87",2019-11-10,12,6986,NA
"88",2019-11-11,5799,7020,FALSE
"89",2019-11-11,1210,7020,TRUE
"90",2019-11-11,11,7020,NA
"91",2019-11-12,5818,7041,FALSE
"92",2019-11-12,1211,7041,TRUE
"93",2019-11-12,12,7041,NA
"94",2019-11-13,5835,7072,FALSE
"95",2019-11-13,1221,7072,TRUE
"96",2019-11-13,16,7072,NA
"97",2019-11-14,5832,7070,FALSE
"98",2019-11-14,1227,7070,TRUE
"99",2019-11-14,11,7070,NA
"100",2019-11-15,5796,7014,FALSE
"101",2019-11-15,1207,7014,TRUE
"102",2019-11-15,11,7014,NA
"103",2019-11-16,5788,6989,FALSE
"104",2019-11-16,1190,6989,TRUE
"105",2019-11-16,11,6989,NA
"106",2019-11-17,5782,6986,FALSE
"107",2019-11-17,1193,6986,TRUE
"108",2019-11-17,11,6986,NA
"109",2019-11-18,5823,7035,FALSE
"110",2019-11-18,1201,7035,TRUE
"111",2019-11-18,11,7035,NA
"112",2019-11-19,5818,7029,FALSE
"113",2019-11-19,1199,7029,TRUE
"114",2019-11-19,12,7029,NA
"115",2019-11-20,5760,6963,FALSE
"116",2019-11-20,1191,6963,TRUE
"117",2019-11-20,12,6963,NA
"118",2019-11-21,5748,6947,FALSE
"119",2019-11-21,1186,6947,TRUE
"120",2019-11-21,13,6947,NA
"121",2019-11-22,5741,6937,FALSE
"122",2019-11-22,1185,6937,TRUE
"123",2019-11-22,11,6937,NA
"124",2019-11-23,5710,6901,FALSE
"125",2019-11-23,1180,6901,TRUE
"126",2019-11-23,11,6901,NA
"127",2019-11-24,5707,6911,FALSE
"128",2019-11-24,1191,6911,TRUE
"129",2019-11-24,13,6911,NA
"130",2019-11-25,5759,6971,FALSE
"131",2019-11-25,1199,6971,TRUE
"132",2019-11-25,13,6971,NA
"133",2019-11-26,5749,6954,FALSE
"134",2019-11-26,1192,6954,TRUE
"135",2019-11-26,13,6954,NA
"136",2019-11-27,5710,6909,FALSE
"137",2019-11-27,1187,6909,TRUE
"138",2019-11-27,12,6909,NA
"139",2019-11-28,5666,6864,FALSE
"140",2019-11-28,1184,6864,TRUE
"141",2019-11-28,14,6864,NA
"142",2019-11-29,5636,6820,FALSE
"143",2019-11-29,1170,6820,TRUE
"144",2019-11-29,14,6820,NA
"145",2019-11-30,5648,6838,FALSE
"146",2019-11-30,1177,6838,TRUE
"147",2019-11-30,13,6838,NA
"148",2019-12-01,5627,6818,FALSE
"149",2019-12-01,1178,6818,TRUE
"150",2019-12-01,13,6818,NA
"151",2019-12-02,5656,6857,FALSE
"152",2019-12-02,1189,6857,TRUE
"153",2019-12-02,12,6857,NA
"154",2019-12-03,5672,6874,FALSE
"155",2019-12-03,1190,6874,TRUE
"156",2019-12-03,12,6874,NA
"157",2019-12-04,5642,6829,FALSE
"158",2019-12-04,1175,6829,TRUE
"159",2019-12-04,12,6829,NA
"160",2019-12-05,5620,6796,FALSE
"161",2019-12-05,1164,6796,TRUE
"162",2019-12-05,12,6796,NA
"163",2019-12-06,5597,6762,FALSE
"164",2019-12-06,1151,6762,TRUE
"165",2019-12-06,14,6762,NA
"166",2019-12-07,5575,6735,FALSE
"167",2019-12-07,1148,6735,TRUE
"168",2019-12-07,12,6735,NA
"169",2019-12-08,5575,6737,FALSE
"170",2019-12-08,1149,6737,TRUE
"171",2019-12-08,13,6737,NA
"172",2019-12-09,5598,6764,FALSE
"173",2019-12-09,1153,6764,TRUE
"174",2019-12-09,13,6764,NA
"175",2019-12-10,5588,6746,FALSE
"176",2019-12-10,1147,6746,TRUE
"177",2019-12-10,11,6746,NA
"178",2019-12-11,5534,6688,FALSE
"179",2019-12-11,1141,6688,TRUE
"180",2019-12-11,13,6688,NA
"181",2019-12-12,5497,6645,FALSE
"182",2019-12-12,1137,6645,TRUE
"183",2019-12-12,11,6645,NA
"184",2019-12-13,5443,6576,FALSE
"185",2019-12-13,1119,6576,TRUE
"186",2019-12-13,14,6576,NA
"187",2019-12-14,5386,6518,FALSE
"188",2019-12-14,1119,6518,TRUE
"189",2019-12-14,13,6518,NA
"190",2019-12-15,5373,6498,FALSE
"191",2019-12-15,1112,6498,TRUE
"192",2019-12-15,13,6498,NA
"193",2019-12-16,5399,6534,FALSE
"194",2019-12-16,1122,6534,TRUE
"195",2019-12-16,13,6534,NA
"196",2019-12-17,5387,6522,FALSE
"197",2019-12-17,1123,6522,TRUE
"198",2019-12-17,12,6522,NA
"199",2019-12-18,5297,6411,FALSE
"200",2019-12-18,1103,6411,TRUE
"201",2019-12-18,11,6411,NA
"202",2019-12-19,5259,6364,FALSE
"203",2019-12-19,1094,6364,TRUE
"204",2019-12-19,11,6364,NA
"205",2019-12-20,5196,6283,FALSE
"206",2019-12-20,1075,6283,TRUE
"207",2019-12-20,12,6283,NA
"208",2019-12-21,5152,6227,FALSE
"209",2019-12-21,1064,6227,TRUE
"210",2019-12-21,11,6227,NA
"211",2019-12-22,5091,6153,FALSE
"212",2019-12-22,1051,6153,TRUE
"213",2019-12-22,11,6153,NA
"214",2019-12-23,5106,6167,FALSE
"215",2019-12-23,1050,6167,TRUE
"216",2019-12-23,11,6167,NA
"217",2019-12-24,5087,6141,FALSE
"218",2019-12-24,1043,6141,TRUE
"219",2019-12-24,11,6141,NA
"220",2019-12-25,5018,6062,FALSE
"221",2019-12-25,1033,6062,TRUE
"222",2019-12-25,11,6062,NA
"223",2019-12-26,5001,6034,FALSE
"224",2019-12-26,1021,6034,TRUE
"225",2019-12-26,12,6034,NA
"226",2019-12-27,4971,5991,FALSE
"227",2019-12-27,1008,5991,TRUE
"228",2019-12-27,12,5991,NA
"229",2019-12-28,4927,5946,FALSE
"230",2019-12-28,1007,5946,TRUE
"231",2019-12-28,12,5946,NA
"232",2019-12-29,4939,5959,FALSE
"233",2019-12-29,1008,5959,TRUE
"234",2019-12-29,12,5959,NA
"235",2019-12-30,4961,5986,FALSE
"236",2019-12-30,1013,5986,TRUE
"237",2019-12-30,12,5986,NA
"238",2019-12-31,4944,5964,FALSE
"239",2019-12-31,1008,5964,TRUE
"240",2019-12-31,12,5964,NA
"241",2020-01-01,4861,5858,FALSE
"242",2020-01-01,985,5858,TRUE
"243",2020-01-01,12,5858,NA
"244",2020-01-02,4815,5809,FALSE
"245",2020-01-02,981,5809,TRUE
"246",2020-01-02,13,5809,NA
"247",2020-01-03,4786,5771,FALSE
"248",2020-01-03,971,5771,TRUE
"249",2020-01-03,14,5771,NA
"250",2020-01-04,4767,5749,FALSE
"251",2020-01-04,969,5749,TRUE
"252",2020-01-04,13,5749,NA
"253",2020-01-05,4750,5735,FALSE
"254",2020-01-05,974,5735,TRUE
"255",2020-01-05,11,5735,NA
"256",2020-01-06,4771,5759,FALSE
"257",2020-01-06,977,5759,TRUE
"258",2020-01-06,11,5759,NA
"259",2020-01-07,4779,5771,FALSE
"260",2020-01-07,980,5771,TRUE
"261",2020-01-07,12,5771,NA
"262",2020-01-08,4772,5757,FALSE
"263",2020-01-08,974,5757,TRUE
"264",2020-01-08,11,5757,NA
"265",2020-01-09,4756,5746,FALSE
"266",2020-01-09,978,5746,TRUE
"267",2020-01-09,12,5746,NA
"268",2020-01-10,4782,5759,FALSE
"269",2020-01-10,966,5759,TRUE
"270",2020-01-10,11,5759,NA
"271",2020-01-11,4774,5764,FALSE
"272",2020-01-11,976,5764,TRUE
"273",2020-01-11,14,5764,NA
"274",2020-01-12,4771,5756,FALSE
"275",2020-01-12,974,5756,TRUE
"276",2020-01-12,11,5756,NA
"277",2020-01-13,4796,5786,FALSE
"278",2020-01-13,979,5786,TRUE
"279",2020-01-13,11,5786,NA
"280",2020-01-14,4798,5789,FALSE
"281",2020-01-14,979,5789,TRUE
"282",2020-01-14,12,5789,NA
"283",2020-01-15,4751,5736,FALSE
"284",2020-01-15,972,5736,TRUE
"285",2020-01-15,13,5736,NA
"286",2020-01-16,4726,5709,FALSE
"287",2020-01-16,970,5709,TRUE
"288",2020-01-16,13,5709,NA
"289",2020-01-17,4687,5659,FALSE
"290",2020-01-17,961,5659,TRUE
"291",2020-01-17,11,5659,NA
"292",2020-01-18,4677,5648,FALSE
"293",2020-01-18,959,5648,TRUE
"294",2020-01-18,12,5648,NA
"295",2020-01-19,4674,5645,FALSE
"296",2020-01-19,959,5645,TRUE
"297",2020-01-19,12,5645,NA
"298",2020-01-20,4699,5675,FALSE
"299",2020-01-20,964,5675,TRUE
"300",2020-01-20,12,5675,NA
"301",2020-01-21,4715,5690,FALSE
"302",2020-01-21,963,5690,TRUE
"303",2020-01-21,12,5690,NA
"304",2020-01-22,4701,5674,FALSE
"305",2020-01-22,961,5674,TRUE
"306",2020-01-22,12,5674,NA
"307",2020-01-23,4677,5652,FALSE
"308",2020-01-23,963,5652,TRUE
"309",2020-01-23,12,5652,NA
"310",2020-01-24,4666,5630,FALSE
"311",2020-01-24,950,5630,TRUE
"312",2020-01-24,14,5630,NA
"313",2020-01-25,4661,5629,FALSE
"314",2020-01-25,956,5629,TRUE
"315",2020-01-25,12,5629,NA
"316",2020-01-26,4647,5618,FALSE
"317",2020-01-26,959,5618,TRUE
"318",2020-01-26,12,5618,NA
"319",2020-01-27,4679,5655,FALSE
"320",2020-01-27,965,5655,TRUE
"321",2020-01-27,11,5655,NA
"322",2020-01-28,4670,5642,FALSE
"323",2020-01-28,959,5642,TRUE
"324",2020-01-28,13,5642,NA
"325",2020-01-29,4634,5597,FALSE
"326",2020-01-29,951,5597,TRUE
"327",2020-01-29,12,5597,NA
"328",2020-01-30,4622,5578,FALSE
"329",2020-01-30,944,5578,TRUE
"330",2020-01-30,12,5578,NA
"331",2020-01-31,4625,5577,FALSE
"332",2020-01-31,935,5577,TRUE
"333",2020-01-31,17,5577,NA
"334",2020-02-01,4583,5520,FALSE
"335",2020-02-01,926,5520,TRUE
"336",2020-02-01,11,5520,NA
"337",2020-02-02,4585,5525,FALSE
"338",2020-02-02,930,5525,TRUE
"339",2020-02-02,10,5525,NA
"340",2020-02-03,4617,5561,FALSE
"341",2020-02-03,934,5561,TRUE
"342",2020-02-03,10,5561,NA
"343",2020-02-04,4600,5539,FALSE
"344",2020-02-04,929,5539,TRUE
"345",2020-02-04,10,5539,NA
"346",2020-02-05,4582,5514,FALSE
"347",2020-02-05,923,5514,TRUE
"348",2020-02-05,9,5514,NA
"349",2020-02-06,4568,5491,FALSE
"350",2020-02-06,912,5491,TRUE
"351",2020-02-06,11,5491,NA
"352",2020-02-07,4557,5473,FALSE
"353",2020-02-07,906,5473,TRUE
"354",2020-02-07,10,5473,NA
"355",2020-02-08,4557,5465,FALSE
"356",2020-02-08,899,5465,TRUE
"357",2020-02-08,9,5465,NA
"358",2020-02-09,4547,5458,FALSE
"359",2020-02-09,902,5458,TRUE
"360",2020-02-09,9,5458,NA
"361",2020-02-10,4581,5494,FALSE
"362",2020-02-10,904,5494,TRUE
"363",2020-02-10,9,5494,NA
"364",2020-02-11,4584,5493,FALSE
"365",2020-02-11,899,5493,TRUE
"366",2020-02-11,10,5493,NA
"367",2020-02-12,4528,5423,FALSE
"368",2020-02-12,885,5423,TRUE
"369",2020-02-12,10,5423,NA
"370",2020-02-13,4511,5417,FALSE
"371",2020-02-13,892,5417,TRUE
"372",2020-02-13,14,5417,NA
"373",2020-02-14,4522,5421,FALSE
"374",2020-02-14,888,5421,TRUE
"375",2020-02-14,11,5421,NA
"376",2020-02-15,4509,5405,FALSE
"377",2020-02-15,885,5405,TRUE
"378",2020-02-15,11,5405,NA
"379",2020-02-16,4485,5390,FALSE
"380",2020-02-16,894,5390,TRUE
"381",2020-02-16,11,5390,NA
"382",2020-02-17,4511,5420,FALSE
"383",2020-02-17,899,5420,TRUE
"384",2020-02-17,10,5420,NA
"385",2020-02-18,4529,5440,FALSE
"386",2020-02-18,900,5440,TRUE
"387",2020-02-18,11,5440,NA
"388",2020-02-19,4538,5453,FALSE
"389",2020-02-19,905,5453,TRUE
"390",2020-02-19,10,5453,NA
"391",2020-02-20,4539,5456,FALSE
"392",2020-02-20,904,5456,TRUE
"393",2020-02-20,13,5456,NA
"394",2020-02-21,4530,5442,FALSE
"395",2020-02-21,903,5442,TRUE
"396",2020-02-21,9,5442,NA
"397",2020-02-22,4528,5438,FALSE
"398",2020-02-22,901,5438,TRUE
"399",2020-02-22,9,5438,NA
"400",2020-02-23,4511,5426,FALSE
"401",2020-02-23,906,5426,TRUE
"402",2020-02-23,9,5426,NA
"403",2020-02-24,4535,5455,FALSE
"404",2020-02-24,911,5455,TRUE
"405",2020-02-24,9,5455,NA
"406",2020-02-25,4526,5440,FALSE
"407",2020-02-25,903,5440,TRUE
"408",2020-02-25,11,5440,NA
"409",2020-02-26,4526,5440,FALSE
"410",2020-02-26,903,5440,TRUE
"411",2020-02-26,11,5440,NA
"412",2020-02-27,4524,5432,FALSE
"413",2020-02-27,897,5432,TRUE
"414",2020-02-27,11,5432,NA
"415",2020-02-28,4535,5441,FALSE
"416",2020-02-28,896,5441,TRUE
"417",2020-02-28,10,5441,NA
"418",2020-02-29,4517,5433,FALSE
"419",2020-02-29,904,5433,TRUE
"420",2020-02-29,12,5433,NA
"421",2020-03-01,4524,5447,FALSE
"422",2020-03-01,913,5447,TRUE
"423",2020-03-01,10,5447,NA
"424",2020-03-02,4547,5473,FALSE
"425",2020-03-02,917,5473,TRUE
"426",2020-03-02,9,5473,NA
"427",2020-03-03,4536,5454,FALSE
"428",2020-03-03,909,5454,TRUE
"429",2020-03-03,9,5454,NA
"430",2020-03-04,4499,5416,FALSE
"431",2020-03-04,907,5416,TRUE
"432",2020-03-04,10,5416,NA
"433",2020-03-05,4507,5422,FALSE
"434",2020-03-05,905,5422,TRUE
"435",2020-03-05,10,5422,NA
"436",2020-03-06,4504,5423,FALSE
"437",2020-03-06,909,5423,TRUE
"438",2020-03-06,10,5423,NA
"439",2020-03-07,4506,5423,FALSE
"440",2020-03-07,907,5423,TRUE
"441",2020-03-07,10,5423,NA
"442",2020-03-08,4496,5411,FALSE
"443",2020-03-08,905,5411,TRUE
"444",2020-03-08,10,5411,NA
"445",2020-03-09,4529,5448,FALSE
"446",2020-03-09,910,5448,TRUE
"447",2020-03-09,9,5448,NA
"448",2020-03-10,4527,5438,FALSE
"449",2020-03-10,901,5438,TRUE
"450",2020-03-10,10,5438,NA
"451",2020-03-11,4520,5432,FALSE
"452",2020-03-11,901,5432,TRUE
"453",2020-03-11,11,5432,NA
"454",2020-03-12,4520,5432,FALSE
"455",2020-03-12,901,5432,TRUE
"456",2020-03-12,11,5432,NA
"457",2020-03-13,4520,5432,FALSE
"458",2020-03-13,901,5432,TRUE
"459",2020-03-13,11,5432,NA
"460",2020-03-14,4520,5432,FALSE
"461",2020-03-14,901,5432,TRUE
"462",2020-03-14,11,5432,NA
"463",2020-03-15,4520,5432,FALSE
"464",2020-03-15,901,5432,TRUE
"465",2020-03-15,11,5432,NA
"466",2020-03-16,4557,5478,FALSE
"467",2020-03-16,910,5478,TRUE
"468",2020-03-16,11,5478,NA
"469",2020-03-17,4553,5471,FALSE
"470",2020-03-17,908,5471,TRUE
"471",2020-03-17,10,5471,NA
"472",2020-03-18,4521,5424,FALSE
"473",2020-03-18,898,5424,TRUE
"474",2020-03-18,5,5424,NA
"475",2020-03-19,4522,5419,FALSE
"476",2020-03-19,892,5419,TRUE
"477",2020-03-19,5,5419,NA
"478",2020-03-20,4524,5421,FALSE
"479",2020-03-20,891,5421,TRUE
"480",2020-03-20,6,5421,NA
"481",2020-03-21,4483,5364,FALSE
"482",2020-03-21,875,5364,TRUE
"483",2020-03-21,6,5364,NA
"484",2020-03-22,4433,5314,FALSE
"485",2020-03-22,876,5314,TRUE
"486",2020-03-22,5,5314,NA
"487",2020-03-23,4428,5302,FALSE
"488",2020-03-23,869,5302,TRUE
"489",2020-03-23,5,5302,NA
"490",2020-03-24,4437,5294,FALSE
"491",2020-03-24,852,5294,TRUE
"492",2020-03-24,5,5294,NA
"493",2020-03-25,4420,5267,FALSE
"494",2020-03-25,842,5267,TRUE
"495",2020-03-25,5,5267,NA
"496",2020-03-26,4373,5202,FALSE
"497",2020-03-26,824,5202,TRUE
"498",2020-03-26,5,5202,NA
"499",2020-03-27,4273,5074,FALSE
"500",2020-03-27,796,5074,TRUE
"501",2020-03-27,5,5074,NA
"502",2020-03-28,4080,4859,FALSE
"503",2020-03-28,774,4859,TRUE
"504",2020-03-28,5,4859,NA
"505",2020-03-29,4012,4740,FALSE
"506",2020-03-29,723,4740,TRUE
"507",2020-03-29,5,4740,NA
"508",2020-03-30,3952,4637,FALSE
"509",2020-03-30,680,4637,TRUE
"510",2020-03-30,5,4637,NA
"511",2020-03-31,3954,4640,FALSE
"512",2020-03-31,681,4640,TRUE
"513",2020-03-31,5,4640,NA
"514",2020-04-01,3928,4604,FALSE
"515",2020-04-01,671,4604,TRUE
"516",2020-04-01,5,4604,NA
"517",2020-04-02,3896,4563,FALSE
"518",2020-04-02,662,4563,TRUE
"519",2020-04-02,5,4563,NA
"520",2020-04-03,3872,4529,FALSE
"521",2020-04-03,651,4529,TRUE
"522",2020-04-03,6,4529,NA
"523",2020-04-04,3804,4422,FALSE
"524",2020-04-04,613,4422,TRUE
"525",2020-04-04,5,4422,NA
"526",2020-04-05,3762,4376,FALSE
"527",2020-04-05,609,4376,TRUE
"528",2020-04-05,5,4376,NA
"529",2020-04-06,3762,4372,FALSE
"530",2020-04-06,605,4372,TRUE
"531",2020-04-06,5,4372,NA
"532",2020-04-07,3772,4383,FALSE
"533",2020-04-07,606,4383,TRUE
"534",2020-04-07,5,4383,NA
"535",2020-04-08,3755,4353,FALSE
"536",2020-04-08,593,4353,TRUE
"537",2020-04-08,5,4353,NA
"538",2020-04-09,3734,4317,FALSE
"539",2020-04-09,577,4317,TRUE
"540",2020-04-09,6,4317,NA
"541",2020-04-10,3685,4263,FALSE
"542",2020-04-10,573,4263,TRUE
"543",2020-04-10,5,4263,NA
"544",2020-04-11,3642,4208,FALSE
"545",2020-04-11,561,4208,TRUE
"546",2020-04-11,5,4208,NA
"547",2020-04-12,3578,4140,FALSE
"548",2020-04-12,557,4140,TRUE
"549",2020-04-12,5,4140,NA
"550",2020-04-13,3582,4143,FALSE
"551",2020-04-13,556,4143,TRUE
"552",2020-04-13,5,4143,NA
"553",2020-04-14,3585,4143,FALSE
"554",2020-04-14,553,4143,TRUE
"555",2020-04-14,5,4143,NA
"556",2020-04-15,3558,4105,FALSE
"557",2020-04-15,542,4105,TRUE
"558",2020-04-15,5,4105,NA
"559",2020-04-16,3534,4055,FALSE
"560",2020-04-16,516,4055,TRUE
"561",2020-04-16,5,4055,NA
"562",2020-04-17,3518,4035,FALSE
"563",2020-04-17,512,4035,TRUE
"564",2020-04-17,5,4035,NA
"565",2020-04-18,3501,4012,FALSE
"566",2020-04-18,506,4012,TRUE
"567",2020-04-18,5,4012,NA
"568",2020-04-19,3473,3969,FALSE
"569",2020-04-19,491,3969,TRUE
"570",2020-04-19,5,3969,NA
"571",2020-04-20,3477,3974,FALSE
"572",2020-04-20,492,3974,TRUE
"573",2020-04-20,5,3974,NA
"574",2020-04-21,3480,3976,FALSE
"575",2020-04-21,491,3976,TRUE
"576",2020-04-21,5,3976,NA
"577",2020-04-22,3460,3952,FALSE
"578",2020-04-22,487,3952,TRUE
"579",2020-04-22,5,3952,NA
