"","date_","n_per_day_age_date","n_per_day_date","age_var"
"1",2022-04-01,1438,5021,"22-29"
"2",2022-04-01,1549,5021,"30-39"
"3",2022-04-01,871,5021,"40-49"
"4",2022-04-01,493,5021,"21 and under"
"5",2022-04-01,666,5021,"all ages 50+"
"6",2021-04-02,804,4694,"40-49"
"7",2021-04-02,1277,4694,"22-29"
"8",2021-04-02,404,4694,"21 and under"
"9",2021-04-02,1505,4694,"30-39"
"10",2021-04-02,702,4694,"all ages 50+"
"11",2020-04-03,719,2587,"22-29"
"12",2020-04-03,397,2587,"all ages 50+"
"13",2020-04-03,789,2587,"30-39"
"14",2020-04-03,456,2587,"40-49"
"15",2020-04-03,225,2587,"21 and under"
"16",2022-04-08,1466,5024,"22-29"
"17",2022-04-08,869,5024,"40-49"
"18",2022-04-08,1534,5024,"30-39"
"19",2022-04-08,495,5024,"21 and under"
"20",2022-04-08,654,5024,"all ages 50+"
"21",2021-04-09,1498,4687,"30-39"
"22",2021-04-09,390,4687,"21 and under"
"23",2021-04-09,1270,4687,"22-29"
"24",2021-04-09,818,4687,"40-49"
"25",2021-04-09,708,4687,"all ages 50+"
"26",2020-04-10,330,2381,"all ages 50+"
"27",2020-04-10,401,2381,"40-49"
"28",2020-04-10,220,2381,"21 and under"
"29",2020-04-10,739,2381,"30-39"
"30",2020-04-10,691,2381,"22-29"
"31",2022-04-15,1481,5022,"22-29"
"32",2022-04-15,1535,5022,"30-39"
"33",2022-04-15,485,5022,"21 and under"
"34",2022-04-15,869,5022,"40-49"
"35",2022-04-15,647,5022,"all ages 50+"
"36",2021-04-16,1489,4689,"30-39"
"37",2021-04-16,818,4689,"40-49"
"38",2021-04-16,1284,4689,"22-29"
"39",2021-04-16,383,4689,"21 and under"
"40",2021-04-16,714,4689,"all ages 50+"
"41",2020-04-17,687,2200,"30-39"
"42",2020-04-17,281,2200,"all ages 50+"
"43",2020-04-17,367,2200,"40-49"
"44",2020-04-17,214,2200,"21 and under"
"45",2020-04-17,651,2200,"22-29"
"46",2022-04-22,1496,5003,"22-29"
"47",2022-04-22,1528,5003,"30-39"
"48",2022-04-22,475,5003,"21 and under"
"49",2022-04-22,853,5003,"40-49"
"50",2022-04-22,648,5003,"all ages 50+"
"51",2021-04-23,1486,4689,"30-39"
"52",2021-04-23,385,4689,"21 and under"
"53",2021-04-23,1279,4689,"22-29"
"54",2021-04-23,828,4689,"40-49"
"55",2021-04-23,709,4689,"all ages 50+"
"56",2020-04-24,630,2113,"22-29"
"57",2020-04-24,257,2113,"all ages 50+"
"58",2020-04-24,205,2113,"21 and under"
"59",2020-04-24,664,2113,"30-39"
"60",2020-04-24,357,2113,"40-49"
"61",2022-04-29,1483,4992,"22-29"
"62",2022-04-29,1518,4992,"30-39"
"63",2022-04-29,474,4992,"21 and under"
"64",2022-04-29,849,4992,"40-49"
"65",2022-04-29,662,4992,"all ages 50+"
"66",2021-04-30,1496,4717,"30-39"
"67",2021-04-30,831,4717,"40-49"
"68",2021-04-30,1289,4717,"22-29"
"69",2021-04-30,379,4717,"21 and under"
"70",2021-04-30,720,4717,"all ages 50+"
"71",2022-08-05,1569,5349,"22-29"
"72",2022-08-05,1635,5349,"30-39"
"73",2022-08-05,961,5349,"40-49"
"74",2022-08-05,691,5349,"all ages 50+"
"75",2022-08-05,493,5349,"21 and under"
"76",2021-08-06,1650,5094,"30-39"
"77",2021-08-06,766,5094,"all ages 50+"
"78",2021-08-06,404,5094,"21 and under"
"79",2021-08-06,1400,5094,"22-29"
"80",2021-08-06,864,5094,"40-49"
"81",2020-08-07,364,2550,"all ages 50+"
"82",2020-08-07,429,2550,"40-49"
"83",2020-08-07,779,2550,"30-39"
"84",2020-08-07,733,2550,"22-29"
"85",2020-08-07,245,2550,"21 and under"
"86",2022-08-12,1578,5397,"22-29"
"87",2022-08-12,1656,5397,"30-39"
"88",2022-08-12,969,5397,"40-49"
"89",2022-08-12,487,5397,"21 and under"
"90",2022-08-12,704,5397,"all ages 50+"
"91",2021-08-13,1670,5143,"30-39"
"92",2021-08-13,768,5143,"all ages 50+"
"93",2021-08-13,405,5143,"21 and under"
"94",2021-08-13,1415,5143,"22-29"
"95",2021-08-13,877,5143,"40-49"
"96",2020-08-14,373,2604,"all ages 50+"
"97",2020-08-14,795,2604,"30-39"
"98",2020-08-14,442,2604,"40-49"
"99",2020-08-14,743,2604,"22-29"
"100",2020-08-14,251,2604,"21 and under"
"101",2022-08-19,1562,5399,"22-29"
"102",2022-08-19,1671,5399,"30-39"
"103",2022-08-19,964,5399,"40-49"
"104",2022-08-19,487,5399,"21 and under"
"105",2022-08-19,714,5399,"all ages 50+"
"106",2021-08-20,1669,5204,"30-39"
"107",2021-08-20,423,5204,"21 and under"
"108",2021-08-20,1447,5204,"22-29"
"109",2021-08-20,773,5204,"all ages 50+"
"110",2021-08-20,882,5204,"40-49"
"111",2020-08-21,382,2701,"all ages 50+"
"112",2020-08-21,829,2701,"30-39"
"113",2020-08-21,465,2701,"40-49"
"114",2020-08-21,756,2701,"22-29"
"115",2020-08-21,269,2701,"21 and under"
"116",2022-08-26,1545,5381,"22-29"
"117",2022-08-26,1677,5381,"30-39"
"118",2022-08-26,947,5381,"40-49"
"119",2022-08-26,494,5381,"21 and under"
"120",2022-08-26,716,5381,"all ages 50+"
"121",2021-08-27,1684,5225,"30-39"
"122",2021-08-27,776,5225,"all ages 50+"
"123",2021-08-27,1455,5225,"22-29"
"124",2021-08-27,871,5225,"40-49"
"125",2021-08-27,431,5225,"21 and under"
"126",2020-08-28,395,2755,"all ages 50+"
"127",2020-08-28,835,2755,"30-39"
"128",2020-08-28,479,2755,"40-49"
"129",2020-08-28,778,2755,"22-29"
"130",2020-08-28,268,2755,"21 and under"
"131",2022-12-02,1765,5659,"30-39"
"132",2022-12-02,1590,5659,"22-29"
"133",2022-12-02,754,5659,"all ages 50+"
"134",2022-12-02,517,5659,"21 and under"
"135",2022-12-02,1031,5659,"40-49"
"136",2021-12-03,1353,4696,"22-29"
"137",2021-12-03,433,4696,"21 and under"
"138",2021-12-03,1461,4696,"30-39"
"139",2021-12-03,671,4696,"all ages 50+"
"140",2021-12-03,771,4696,"40-49"
"141",2020-12-04,336,3667,"21 and under"
"142",2020-12-04,1122,3667,"30-39"
"143",2020-12-04,556,3667,"all ages 50+"
"144",2020-12-04,613,3667,"40-49"
"145",2020-12-04,1039,3667,"22-29"
"146",2019-12-06,550,2191,"22-29"
"147",2019-12-06,674,2191,"30-39"
"148",2019-12-06,402,2191,"all ages 50+"
"149",2019-12-06,391,2191,"40-49"
"150",2019-12-06,171,2191,"21 and under"
"151",2022-12-09,1778,5643,"30-39"
"152",2022-12-09,1581,5643,"22-29"
"153",2022-12-09,758,5643,"all ages 50+"
"154",2022-12-09,508,5643,"21 and under"
"155",2022-12-09,1016,5643,"40-49"
"156",2021-12-10,1368,4757,"22-29"
"157",2021-12-10,439,4757,"21 and under"
"158",2021-12-10,1477,4757,"30-39"
"159",2021-12-10,678,4757,"all ages 50+"
"160",2021-12-10,789,4757,"40-49"
"161",2020-12-11,1043,3735,"22-29"
"162",2020-12-11,1158,3735,"30-39"
"163",2020-12-11,566,3735,"all ages 50+"
"164",2020-12-11,632,3735,"40-49"
"165",2020-12-11,335,3735,"21 and under"
"166",2019-12-13,581,2278,"22-29"
"167",2019-12-13,693,2278,"30-39"
"168",2019-12-13,428,2278,"all ages 50+"
"169",2019-12-13,401,2278,"40-49"
"170",2019-12-13,172,2278,"21 and under"
"171",2022-12-16,1772,5662,"30-39"
"172",2022-12-16,1612,5662,"22-29"
"173",2022-12-16,740,5662,"all ages 50+"
"174",2022-12-16,1015,5662,"40-49"
"175",2022-12-16,521,5662,"21 and under"
"176",2021-12-17,1348,4763,"22-29"
"177",2021-12-17,1490,4763,"30-39"
"178",2021-12-17,452,4763,"21 and under"
"179",2021-12-17,792,4763,"40-49"
"180",2021-12-17,676,4763,"all ages 50+"
"181",2020-12-18,1067,3791,"22-29"
"182",2020-12-18,1186,3791,"30-39"
"183",2020-12-18,329,3791,"21 and under"
"184",2020-12-18,580,3791,"all ages 50+"
"185",2020-12-18,628,3791,"40-49"
"186",2019-12-20,675,2299,"30-39"
"187",2019-12-20,598,2299,"22-29"
"188",2019-12-20,405,2299,"40-49"
"189",2019-12-20,440,2299,"all ages 50+"
"190",2019-12-20,181,2299,"21 and under"
"191",2022-12-23,1747,5535,"30-39"
"192",2022-12-23,1553,5535,"22-29"
"193",2022-12-23,717,5535,"all ages 50+"
"194",2022-12-23,514,5535,"21 and under"
"195",2022-12-23,1003,5535,"40-49"
"196",2021-12-24,1347,4745,"22-29"
"197",2021-12-24,1485,4745,"30-39"
"198",2021-12-24,794,4745,"40-49"
"199",2021-12-24,659,4745,"all ages 50+"
"200",2021-12-24,456,4745,"21 and under"
"201",2020-12-25,1063,3787,"22-29"
"202",2020-12-25,1190,3787,"30-39"
"203",2020-12-25,627,3787,"40-49"
"204",2020-12-25,327,3787,"21 and under"
"205",2020-12-25,578,3787,"all ages 50+"
"206",2019-12-27,658,2263,"30-39"
"207",2019-12-27,591,2263,"22-29"
"208",2019-12-27,404,2263,"40-49"
"209",2019-12-27,425,2263,"all ages 50+"
"210",2019-12-27,184,2263,"21 and under"
"211",2022-12-30,1730,5495,"30-39"
"212",2022-12-30,1542,5495,"22-29"
"213",2022-12-30,722,5495,"all ages 50+"
"214",2022-12-30,993,5495,"40-49"
"215",2022-12-30,506,5495,"21 and under"
"216",2021-12-31,1352,4717,"22-29"
"217",2021-12-31,1466,4717,"30-39"
"218",2021-12-31,449,4717,"21 and under"
"219",2021-12-31,799,4717,"40-49"
"220",2021-12-31,648,4717,"all ages 50+"
"221",2023-02-03,1820,5779,"30-39"
"222",2023-02-03,1582,5779,"22-29"
"223",2023-02-03,546,5779,"21 and under"
"224",2023-02-03,1061,5779,"40-49"
"225",2023-02-03,768,5779,"all ages 50+"
"226",2021-02-05,1168,4240,"22-29"
"227",2021-02-05,1343,4240,"30-39"
"228",2021-02-05,359,4240,"21 and under"
"229",2021-02-05,667,4240,"all ages 50+"
"230",2021-02-05,703,4240,"40-49"
"231",2020-02-07,803,2772,"30-39"
"232",2020-02-07,741,2772,"22-29"
"233",2020-02-07,482,2772,"40-49"
"234",2020-02-07,514,2772,"all ages 50+"
"235",2020-02-07,229,2772,"21 and under"
"236",2023-02-10,1800,5746,"30-39"
"237",2023-02-10,1569,5746,"22-29"
"238",2023-02-10,541,5746,"21 and under"
"239",2023-02-10,767,5746,"all ages 50+"
"240",2023-02-10,1067,5746,"40-49"
"241",2022-02-11,1482,5007,"22-29"
"242",2022-02-11,459,5007,"21 and under"
"243",2022-02-11,1531,5007,"30-39"
"244",2022-02-11,662,5007,"all ages 50+"
"245",2022-02-11,868,5007,"40-49"
"246",2021-02-12,362,4300,"21 and under"
"247",2021-02-12,1361,4300,"30-39"
