"","date_","21 and under","22-29","30-39","40-49","all ages 50+"
"1","2019-10-11",14,37,34,27,21
"2","2019-10-12",21,67,62,45,45
"3","2019-10-13",25,82,85,58,57
"4","2019-10-14",30,98,102,67,69
"5","2019-10-15",32,117,117,79,75
"6","2019-10-16",34,117,124,85,83
"7","2019-10-17",31,131,145,92,88
"8","2019-10-18",32,142,165,101,97
"9","2019-10-19",35,164,187,112,116
"10","2019-10-20",40,174,199,123,124
"11","2019-10-21",41,186,218,127,132
"12","2019-10-22",44,187,238,133,144
"13","2019-10-23",47,201,255,146,147
"14","2019-10-24",55,210,268,149,150
"15","2019-10-29",91,296,333,217,199
"16","2019-10-30",96,307,344,222,207
"17","2019-10-31",98,313,347,219,211
"18","2019-11-01",103,326,367,232,218
"19","2019-11-02",101,333,387,242,238
"20","2019-11-03",99,325,405,238,238
"21","2019-11-04",105,338,411,247,242
"22","2019-11-05",109,348,419,255,243
"23","2019-11-06",106,352,412,252,245
"24","2019-11-07",111,371,423,262,257
"25","2019-11-08",123,380,424,266,268
"26","2019-11-09",129,396,446,263,272
"27","2019-11-10",126,400,449,271,274
"28","2019-11-11",124,405,467,281,281
"29","2019-11-12",124,420,475,290,284
"30","2019-11-13",126,426,490,295,296
"31","2019-11-14",132,424,508,302,312
"32","2019-11-15",129,434,522,302,307
"33","2019-11-16",131,448,538,312,302
"34","2019-11-17",131,458,539,319,309
"35","2019-11-18",137,475,551,326,316
"36","2019-11-19",142,485,559,329,321
"37","2019-11-20",142,479,546,326,326
"38","2019-11-21",147,480,564,332,324
"39","2019-11-22",149,490,573,336,338
"40","2019-11-23",157,497,582,338,339
"41","2019-11-24",158,499,594,343,354
"42","2019-11-25",160,520,615,351,361
"43","2019-11-26",162,524,620,356,364
"44","2019-11-27",158,527,622,361,368
"45","2019-11-28",160,526,627,359,372
"46","2019-11-29",158,516,627,366,369
"47","2019-11-30",166,524,641,368,380
"48","2019-12-01",164,521,634,368,385
"49","2019-12-02",171,522,647,377,394
"50","2019-12-03",173,531,654,383,397
"51","2019-12-04",170,534,663,387,396
"52","2019-12-05",172,544,660,387,395
"53","2019-12-06",171,550,674,391,402
"54","2019-12-07",168,561,674,397,409
"55","2019-12-08",167,570,680,394,413
"56","2019-12-09",172,572,691,400,416
"57","2019-12-10",172,579,703,402,419
"58","2019-12-11",169,577,694,403,424
"59","2019-12-12",171,573,691,413,431
"60","2019-12-13",172,581,693,401,428
"61","2019-12-14",175,597,688,401,438
"62","2019-12-15",178,603,690,397,437
"63","2019-12-16",179,613,698,404,446
"64","2019-12-17",184,617,699,402,450
"65","2019-12-18",178,607,679,396,446
"66","2019-12-19",178,602,683,406,450
"67","2019-12-20",181,598,675,405,440
"68","2019-12-21",180,601,678,412,440
"69","2019-12-22",178,591,670,411,438
"70","2019-12-23",183,598,676,412,437
"71","2019-12-24",187,599,673,414,434
"72","2019-12-25",182,591,665,408,435
"73","2019-12-26",182,592,665,407,428
"74","2019-12-27",184,591,658,404,425
"75","2019-12-28",179,592,653,403,427
"76","2019-12-29",179,602,654,407,434
"77","2019-12-30",181,610,660,414,437
"78","2019-12-31",179,616,666,417,438
