date,21 and under,22-29,30-39,40-49,ages 50+
2019-Oct,35,164,187,112,116
2019-Nov,131,441,530,307,308
2019-Dec,178,591,674,403,431
2020-Jan,202,661,721,432,477
2020-Feb,237,756,836,501,524
2020-Mar,261,830,937,551,582
2020-Apr,217,656,696,368,293
2020-May,215,671,701,367,290
2020-Jun,227,700,740,395,320
2020-Jul,224,698,758,421,333
2020-Aug,260,744,810,452,375
2020-Sep,293,855,889,495,437
2020-Oct,310,937,973,556,493
2020-Nov,329,1023,1056,606,535
2020-Dec,332,1061,1183,629,578
2021-Jan,350,1141,1286,657,618
2021-Feb,375,1194,1370,724,668
2021-Mar,408,1256,1477,785,681
2021-Apr,384,1285,1495,823,714
2021-May,377,1285,1501,831,709
2021-Jun,396,1338,1564,846,739
2021-Jul,406,1383,1603,863,754
2021-Aug,411,1430,1670,876,772
2021-Sep,438,1478,1681,881,776
2021-Oct,431,1396,1528,801,697
2021-Nov,423,1377,1493,785,690
2021-Dec,446,1357,1479,791,677
2022-Jan,453,1381,1491,805,662
2022-Feb,472,1495,1544,876,681
2022-Mar,496,1479,1559,886,696
2022-Apr,484,1479,1538,865,661
2022-May,479,1507,1558,867,651
2022-Jun,500,1519,1621,915,645
2022-Jul,497,1554,1643,974,659
2022-Aug,493,1569,1660,961,707
2022-Sep,511,1589,1721,977,753
2022-Oct,516,1589,1751,997,760
2022-Nov,520,1593,1759,1026,760
2022-Dec,514,1590,1765,1019,740
2023-Jan,529,1596,1783,1028,759
2023-Feb,544,1576,1809,1067,771
