year,age16_20,age21_29,age30_39,age40_49,age50_over,age_total,incarceration_status
2011,2753,15408,15567,14195,8392,56315,total under custody
2012,2636,15338,15362,13774,8869,55979,total under custody
2013,2390,15106,15206,12894,9269,54865,total under custody
2014,2240,15079,15099,12189,9535,54142,total under custody
2015,1912,14674,15008,11576,9933,53103,total under custody
2016,1679,14436,15032,11057,10140,52344,total under custody
2017,1489,13919,15049,10677,10332,51466,total under custody
2018,1291,13149,15125,10375,10331,50271,total under custody
2019,1113,11866,14739,9845,9896,47459,total under custody
2020,916,10483,14061,9300,9516,44276,total under custody
2021,418,7374,10830,7697,8086,34405,total under custody
