"","admitted_dt","inmateid","inmate_status_code","top_charge","release_date_approx","age","first_admin_date","last_admin_date","order_adm_times"
"1",2015-01-29,20131130,"DE","160.15",2019-12-24,25,2015-01-29,2022-10-06,1
"2",2015-05-01,20099979,"DE","110-125.25",2021-10-28,36,2015-05-01,2021-12-22,1
"3",2015-10-29,131514,"DE","",2020-01-31,48,2015-10-29,2020-05-14,1
"4",2015-11-14,20159382,"DE","",2020-04-22,27,2015-11-14,2022-09-01,1
"5",2016-03-17,20129795,"SSR","",2019-10-17,22,2016-03-17,2021-12-16,1
"6",2016-04-06,139381,"DE","160.15",2019-10-29,35,2016-04-06,2021-04-07,1
"7",2016-04-20,20166189,"DE","155.35",2019-12-19,67,2016-04-20,2020-01-23,1
"8",2016-04-29,10011413,"DE","125.25",2021-03-18,30,2016-04-29,2021-07-03,1
"9",2016-05-04,143937,"DPV","",2020-04-08,51,2016-05-04,2020-06-05,1
"10",2016-06-25,20012297,"DE","125.25",2021-03-26,42,2016-06-25,2022-06-07,1
"11",2016-07-22,20143945,"DE","140.25",2019-12-20,22,2016-07-22,2021-12-16,1
"12",2016-07-25,20170391,"DE","110-125.27",2019-10-30,26,2016-07-25,2022-10-06,1
"13",2016-08-19,20171547,"DE","125.25",2021-06-02,21,2016-08-19,2021-06-22,1
"14",2016-10-17,13827,"DEP","170.20",2020-07-23,34,2016-10-17,2020-09-19,1
"15",2016-11-16,41527,"DE","205.25",2019-11-14,37,2016-11-16,2021-11-13,1
"16",2016-11-28,20144700,"DE","125.25",2019-12-04,56,2016-11-28,2020-02-18,1
"17",2016-12-04,32070,"DE","125.25",2020-10-20,35,2016-12-04,2022-12-08,1
"18",2016-12-23,20176002,"DE","110-125.27",2020-10-20,42,2016-12-23,2021-03-29,1
"19",2017-03-11,20161410,"DE","125.25",2020-06-01,48,2017-03-11,2022-12-30,1
"20",2017-03-17,20179703,"DE","125.27",2022-07-21,31,2017-03-17,2022-09-21,1
"21",2017-03-22,20179901,"DNS","",2020-02-04,39,2017-03-22,2021-02-10,1
"22",2017-04-02,135239,"SSR","",2019-12-17,29,2017-04-02,2023-02-02,1
"23",2017-05-12,20182045,"DE","220.21",2020-03-06,58,2017-05-12,2021-07-13,1
"24",2017-05-17,20020838,"DE","125.25",2020-04-01,58,2017-05-17,2022-11-23,1
