"","50 Years and Over","n_per_day_date","n_per_day_age_date","date_"
"1",TRUE,5021,666,2022-04-01
"2",TRUE,4694,702,2021-04-02
"3",TRUE,5024,654,2022-04-08
"4",TRUE,4687,708,2021-04-09
"5",TRUE,5022,647,2022-04-15
"6",TRUE,4689,714,2021-04-16
"7",TRUE,5003,648,2022-04-22
"8",TRUE,4689,709,2021-04-23
"9",TRUE,4992,662,2022-04-29
"10",TRUE,4717,720,2021-04-30
"11",TRUE,5349,691,2022-08-05
"12",TRUE,5094,766,2021-08-06
"13",TRUE,5397,704,2022-08-12
"14",TRUE,5143,768,2021-08-13
"15",TRUE,5399,714,2022-08-19
"16",TRUE,5204,773,2021-08-20
"17",TRUE,5381,716,2022-08-26
"18",TRUE,5225,776,2021-08-27
"19",TRUE,5659,754,2022-12-02
"20",TRUE,4696,671,2021-12-03
"21",TRUE,5643,758,2022-12-09
"22",TRUE,4757,678,2021-12-10
"23",TRUE,5662,740,2022-12-16
"24",TRUE,4763,676,2021-12-17
"25",TRUE,5535,717,2022-12-23
"26",TRUE,4745,659,2021-12-24
"27",TRUE,5495,722,2022-12-30
"28",TRUE,4717,648,2021-12-31
"29",TRUE,4240,667,2021-02-05
"30",TRUE,5007,662,2022-02-11
"31",TRUE,4300,673,2021-02-12
"32",TRUE,5063,678,2022-02-18
"33",TRUE,4367,677,2021-02-19
"34",TRUE,5130,683,2022-02-25
"35",TRUE,4442,673,2021-02-26
"36",TRUE,3865,593,2021-01-01
"37",TRUE,4786,664,2022-01-07
"38",TRUE,3959,605,2021-01-08
"39",TRUE,4826,669,2022-01-14
"40",TRUE,4056,618,2021-01-15
"41",TRUE,4113,635,2021-01-22
"42",TRUE,4190,651,2021-01-29
"43",TRUE,5245,642,2022-07-01
"44",TRUE,4936,740,2021-07-02
"45",TRUE,5292,649,2022-07-08
"46",TRUE,4989,750,2021-07-09
"47",TRUE,5321,650,2022-07-15
"48",TRUE,4986,742,2021-07-16
"49",TRUE,5345,661,2022-07-22
"50",TRUE,5053,759,2021-07-23
"51",TRUE,5371,683,2022-07-29
"52",TRUE,5078,767,2021-07-30
"53",TRUE,5105,627,2022-06-03
"54",TRUE,4782,727,2021-06-04
"55",TRUE,5159,636,2022-06-10
"56",TRUE,4848,737,2021-06-11
"57",TRUE,5212,650,2022-06-17
"58",TRUE,4868,737,2021-06-18
"59",TRUE,5269,652,2022-06-24
"60",TRUE,4964,740,2021-06-25
"61",TRUE,5146,696,2022-03-04
"62",TRUE,4466,667,2021-03-05
"63",TRUE,5127,702,2022-03-11
"64",TRUE,4557,684,2021-03-12
"65",TRUE,5109,700,2022-03-18
"66",TRUE,4611,678,2021-03-19
"67",TRUE,5087,689,2022-03-25
"68",TRUE,4707,706,2021-03-26
"69",TRUE,5018,659,2022-05-06
"70",TRUE,4656,698,2021-05-07
"71",TRUE,5043,651,2022-05-13
"72",TRUE,4684,701,2021-05-14
"73",TRUE,5103,657,2022-05-20
"74",TRUE,4683,707,2021-05-21
"75",TRUE,5080,633,2022-05-27
"76",TRUE,4752,730,2021-05-28
"77",TRUE,5656,756,2022-11-04
"78",TRUE,4781,692,2021-11-05
"79",TRUE,5648,755,2022-11-11
"80",TRUE,4760,690,2021-11-12
"81",TRUE,5660,766,2022-11-18
"82",TRUE,4765,695,2021-11-19
"83",TRUE,5627,755,2022-11-25
"84",TRUE,4736,683,2021-11-26
"85",TRUE,4897,706,2021-10-01
"86",TRUE,5575,757,2022-10-07
"87",TRUE,4833,691,2021-10-08
"88",TRUE,5631,765,2022-10-14
"89",TRUE,4884,705,2021-10-15
"90",TRUE,5604,761,2022-10-21
"91",TRUE,4839,697,2021-10-22
"92",TRUE,5627,755,2022-10-28
"93",TRUE,4802,686,2021-10-29
"94",TRUE,5427,725,2022-09-02
"95",TRUE,5257,774,2021-09-03
"96",TRUE,5530,737,2022-09-09
"97",TRUE,5287,777,2021-09-10
"98",TRUE,5583,764,2022-09-16
"99",TRUE,5329,786,2021-09-17
"100",TRUE,5539,760,2022-09-23
