year,age17_20,age21_29,age30_39,age40_49,age50+,total_released,total_50_over,pct_over50
2011,858,5107,4120,3228,1805,15118,1805,0.1193940997
2012,825,4922,3954,3079,1946,14726,1946,0.1321472226
2013,789,4594,3875,2829,1998,14085,1998,0.1418530351
2014,635,4523,3705,2676,2016,13555,2016,0.1487274069
2015,531,4323,3782,2491,2021,13148,2021,0.1537115911
2016,455,4306,3966,2434,2092,13253,2092,0.1578510526
2017,451,4074,3940,2448,2257,13170,2257,0.1713743356
2018,446,3939,4219,2560,2559,13723,2559,0.1864752605
2019,330,3457,4019,2411,2318,12535,2318,0.1849222178
2020,223,2800,3660,2132,2042,10857,2042,0.1880814221
